,Sample,Question,Question Type,Question Type,Correct Grammar,Suggestions
,,,,,,
ID,Question / Sentence Samples,"1 - Question 
0 - Not a Question",What / When / Why / How / Where / Who / Which / YN,Second Label,"1 - Correct Grammar
0 - Incorrect Grammar",Correct grammar question / sentence if it is incorrect
AAG,Do you have to remove tartar from dogâ€™s teeth?,1,YN,,1,
AAJ,I recommend you look for enzymatic toothpaste for cats.,0,,,1,
AAM,Why do you brush your cat's teeth? What are some examples?,1,Why,What,1,
AAS,What was the correct answer to what I heard?,1,What,,1,
AAU,What was a dog once loved with?,1,What,,1,
AAV,What kind of pet could I still keep and enjoy?,1,What,,1,
AAW,"What do some aftercare provider price by weight, species or just by the service being offered?",1,What,,0,"What do some aftercare provider price by weight, species, or just by the service being offered?"
AAX,The money wonâ€™t be missed in the future while the health benefits will continue to pay off.,0,,,0,"The money wonâ€™t be missed in the future, while the health benefits will continue to pay off."
ABC,What can be managed acutely by administering sugar syrup to gums?,1,What,,1,
ABE,What does the arrangement between your veterinarian and the aftercare providers depend on?,1,What,,1,
ABF,How can we regulate our blood sugar and what are the causes of this state of our pancreas?,1,How,,0,"How can we regulate our blood sugar, and what are the causes of this state of our pancreas?"
ABG,What is a common term for a pet's oral health assessment?,1,What,,1,
ABH,This depends on whether you decide to leave your pet with your veterinarian or deal directly with an aftercare provider.,0,,,1,
ABK,What is becoming a more common practice now?,1,What,,1,
ABN,What are bone fragments and ashes collectively known as? How are they known?,1,What,How,1,
ABQ,What are some medical conditions that cats can get called?,1,What,,1,
ABR,How do I remove plaque plaque from teeth?,1,How,,0,How do I remove plaque from teeth?
ABS,This behaviour is commonly seen when a cat has significant oral pain.,0,,,1,
ABW,What conditions do cats call?,1,What,,1,
ABZ,What type of diabetes occurs when the pancreas makes too much insulin?,1,What,,1,
ACB,"I have several allergies to certain foods, but i have no idea what happens when my dog chews them?",1,What,,0,"I have several allergies to certain foods, but I have no idea what happens when my dog chews them?"
ACG,What's not recommended because of high fluoride (not salt) content?,1,What,,1,
ACH,What is the name of the website that will send information to the aftercare provider?,1,What,,1,
ACI,Ask these questions ahead of time so you know your available options.,0,,,0,"Ask these questions ahead of time, so you know your available options."
ACJ,How do you use a human toothpaste for cats?,1,How,,1,
ACM,What does diabetes insipidus look like?,1,What,,1,
ACU,What veterinary services does a veterinarian provide that keeps your pet healthy?,1,What,,1,
ACZ,How would you put it into perspective when it comes to pets?,1,How,,1,
ADA,How do dogs lose their jaws due to decay?,1,How,,1,
ADC,How long would long term use of corticosteroids be safe?,1,How,,1,
ADD,What are mineral fragments placed in when the solid is slurred out as wastewater?,1,What,,1,
ADE,What should I avoid using human toothpaste for cats?,1,What,,1,
ADH,What is the name of euthanasia drugs that are introduced to your pet?,1,What,,1,
ADK,Infected person must have proper medical care. How should we treat/prevent infection?,1,How,,1,
ADR,What nutrients pass through your intestine when you eat?,1,What,,1,
ADS,What is not recommended because of fluoride (not salt) content?,1,What,,1,
ADU,What is the red line on the base of each tooth where tartar and bacteria are contacting the gums?,1,What,,1,
ADX,What does the goal of a pet parent in life?,1,What,,1,
ADZ,How often do you do an extensive dental procedure on a dog?,1,How,,1,
AEA,What is the diameter of a needle? What are some examples?,1,What,What,1,
AEK,What can bacteria cause on teeth and gums after brushing?,1,What,,1,
AEN,The quick answer on how to take care of your dogâ€™s teeth is that a dental cleaning should be performed if tartar has begun to accumulate.,0,,,1,
AEO,What is retained deciduous teeth? What are their characteristics and why do they retain their teeth?,1,What,What,0,"What is retained deciduous teeth? What are their characteristics, and why do they retain their teeth?"
AEP,Diabetes insipidus results from what?,1,What,,1,
AEV,What color is the same for every animal?,1,What,,1,
AFD,What kind of diet is best for me?,1,What,,1,
AFH,What are some foods that stop glucose absorption?,1,What,,1,
AFR,What are different water combinations that freshen one's breath?,1,What,,1,
AFT,"To help avoid sudden spikes or drops in glucose levels, it is especially important that diabetic dogs maintain a moderate but consistent exercise routine.",0,,,1,
AFV,What are the best ways to deal with plaque buildup in toy dogs?,1,What,,1,
AGB,How can I whiten my teeth and remove the plaque?,1,How,,1,
AGC,What is the common problem in canine patients?,1,What,,1,
AGD,How would you describe the diameter of needle?,1,How,,1,
